oembed/1.0,Allows embedded representation of a URL,
contact-form-7/v1,Manages multiple contact forms,https://wordpress.org/plugins/contact-form-7/
wc/v1,WooCommerce is a free eCommerce plugin that allows to sell anything,https://wordpress.org/plugins/woocommerce/
wc/v2,WooCommerce is a free eCommerce plugin that allows to sell anything,https://wordpress.org/plugins/woocommerce/
facebook/v1,,
regenerate-thumbnails/v1,Regenerate Thumbnails allows to regenerate all thumbnail sizes for one or more images,https://wordpress.org/plugins/regenerate-thumbnails/
wp/v2,The default API integrated since WordPress 4.7,https://developer.wordpress.org/rest-api/
akismet/v1,Akismet checks comments and contact form submissions against a global database of spam,https://wordpress.org/plugins/akismet/
yoast/v1,Yoast SEO is a WordPress SEO plugin,https://wordpress.org/plugins/wordpress-seo/
wp-super-cache/v1,This plugin generates static html files from your dynamic WordPress blog,https://wordpress.org/plugins/wp-super-cache/
script-manager/v1,,
jetpack/v4,Hassle-free design and marketing,https://wordpress.org/plugins/jetpack/
redirection/v1,Redirection is the most popular redirect manager for WordPress,https://wordpress.org/plugins/redirection/
tribe/events/v1,Create and manage an events calendar,https://wordpress.org/plugins/the-events-calendar/
2fa/v1,,
wpsc/v1,,
v1/products/,,
v1/cart/,,
v1/,,
post-views-counter,Counts views of posts of the website,https://wordpress.org/plugins/post-views-counter/
frm-admin/v1,,
listo/v1,Listo is a simple plugin that supplies other plugins and themes with commonly used lists,https://wordpress.org/plugins/listo/
themeisle-sdk/v1,,
bogo/v1,Bogo is a straight-forward multilingual plugin for WordPress,https://wordpress.org/plugins/bogo/
envira/v1,Responsive Image Gallery for WordPress,https://wordpress.org/plugins/envira-gallery-lite/
disqus/v1,Disqus is the web’s most popular commenting system,https://wordpress.org/plugins/disqus-comment-system/
invitations-for-slack/v1,Invitations for Slack allows to show “Join us on Slack.” buttons,https://wordpress.org/plugins/invitations-for-slack/
rop/v1,Revive Old Posts helps to keep the old posts alive by automatically sharing them on Social Networks,https://wordpress.org/plugins/tweet-old-post/
cf-api/v2,,
thrive,,
om-cc,,
om/fiw,,
tatsu/v1,,
semplice/v1/editor,,
semplice/v1/admin,,
semplice/v1/frontend,,
jwt-auth/v1,,
pum/v1,,
deliciousbrains/v1,,
sportspress/v2,Creates a professional sports website,https://wordpress.org/plugins/sportspress/
content-forms/v1,,
